Group,Tree,Species
R1.2,R1,A. rubra
R10.2,R10,A. rubra
R10.3,R10,A. rubra
R10.5,R10,A. rubra
R12.1,R12,A. rubra
R12.3,R12,A. rubra
R13.1,R13,A. rubra
R13.4,R13,A. rubra
R15.1,R15,A. rubra
R15.2,R15,A. rubra
R15.4,R15,A. rubra
R15.5,R15,A. rubra
R18.3,R18,A. rubra
R19.1,R19,A. rubra
R19.2,R19,A. rubra
R19.4,R19,A. rubra
R2.2,R2,A. rubra
R2.3,R2,A. rubra
R3.4,R3,A. rubra
R4.1,R4,A. rubra
R4.4,R4,A. rubra
R5.4,R5,A. rubra
R6.1,R6,A. rubra
R6.2,R6,A. rubra
R7.1,R7,A. rubra
R7.2,R7,A. rubra
R7.3,R7,A. rubra
R7.4,R7,A. rubra
R8.2,R8,A. rubra
R8.5,R8,A. rubra
R9.4,R9,A. rubra
R9.5,R9,A. rubra
S1.4,S1,A. viridis
S12.1,S12,A. viridis
S13.1,S13,A. viridis
S13.2,S13,A. viridis
S13.5,S13,A. viridis
S14.2,S14,A. viridis
S14.5,S14,A. viridis
S15.3,S15,A. viridis
S15.4,S15,A. viridis
S15.5,S15,A. viridis
S16.1,S16,A. viridis
S16.2,S16,A. viridis
S16.3,S16,A. viridis
S17.1,S17,A. viridis
S17.5,S17,A. viridis
S18.1,S18,A. viridis
S18.2,S18,A. viridis
S18.3,S18,A. viridis
S19.5,S19,A. viridis
S2.3,S2,A. viridis
S20.4,S20,A. viridis
S3.3,S3,A. viridis
S3.4,S3,A. viridis
S3.5,S3,A. viridis
S4.1,S4,A. viridis
S4.3,S4,A. viridis
S4.4,S4,A. viridis
S4.5,S4,A. viridis
S5.1,S5,A. viridis
S5.3,S5,A. viridis
S6.2,S6,A. viridis
S6.4,S6,A. viridis
S6.5,S6,A. viridis
S7.1,S7,A. viridis
S7.2,S7,A. viridis
S8.3,S8,A. viridis
S8.4,S8,A. viridis
