Group,Tree,Species
R11.1,R11,A. rubra
R11.3,R11,A. rubra
R12.1,R12,A. rubra
R13.4,R13,A. rubra
R15.1,R15,A. rubra
R15.2,R15,A. rubra
R16.5,R16,A. rubra
R18.1,R18,A. rubra
R18.3,R18,A. rubra
R18.5,R18,A. rubra
R19.2,R19,A. rubra
R6.1,R6,A. rubra
R6.4,R6,A. rubra
S10.1,S10,A. viridis
S12.1,S12,A. viridis
S12.3,S12,A. viridis
S12.5,S12,A. viridis
S13.5,S13,A. viridis
S14.1,S14,A. viridis
S15.1,S15,A. viridis
S15.2,S15,A. viridis
S16.2,S16,A. viridis
S16.3,S16,A. viridis
S17.2,S17,A. viridis
S17.3,S17,A. viridis
S17.4,S17,A. viridis
S17.5,S17,A. viridis
S18.5,S18,A. viridis
S19.4,S19,A. viridis
S2.5,S2,A. viridis
S3.2,S3,A. viridis
S4.2,S4,A. viridis
S4.3,S4,A. viridis
S4.5,S4,A. viridis
S6.3,S6,A. viridis
S9.2,S9,A. viridis
S9.5,S9,A. viridis
SU1.3,SU1,A. viridis
SU4.1,SU4,A. viridis
SU5.3,SU5,A. viridis
SU6.1,SU6,A. viridis
